item 1,item 2
glucose energy drink,energy drink
tomato soup,tomato juice
honey lemon green tea,green tea
water,mineral water
antioxydant sour juice,antioxydant juice
smoothie,frozen smoothie
aged red wine,red wine
strawberry sparkling water,sparkling water
aged champagne,champagne
french red wine,french wine
apple cider,cider
orange soda,soda
grape wine,dessert wine
strong mint green tea,mint green tea
lemon black tea,black tea
aged white wine,white wine
assamese tea,tea
cheddar cheese,cottage cheese
frozen yogurt,low fat yogurt
Parmigiano Reggiano,parmesan cheese
sliced cheese,grated cheese
salted butter,butter
flavored mayo,light mayo
toned milk,milk
smelly cheese,strong cheese
mayonnaise dip,mayonnaise
fat milk,nonfat milk
sliced fromage blanc ,fromage blanc
whipped cream,light cream
mango cream,cream
roasted almonds,almonds
multigrained flour,whole weat flour
canola olive oil,olive oil
multi-purpose essentials,whole wheat essentials
cooked spaghetti,spaghetti
basmati rice,rice
seasoned herb & pepper,herb & pepper
mint powder,mint
essentials,essentials
pepper powder ,pepper
low fat cooking oil,cooking oil
coconut oil,oil
rock salt,salt
brown rice,whole wheat rice
flax seed powder,flax seed
clothes accessories,clothes accessories
lawn bug spray,bug spray
magazines,magazines
karetin shampoo,shampoo
salted toothpaste,toothpaste
lavender body spray,body spray
water spray jet,water spray
cloth napkins,napkins
mexican avocado,avocado
frozon vegetables mix,vegetables mix
purple grapes,green grapes
african yams,yams
frozen salad,salad
dry spinach,spinach
baked vegetables,frozen vegetables
baked asparagus,asparagus
tomatoes puree,tomatoes
baby carrots ,carrots
pink shallot,shallot
blue berry,bramble
beans,green beans
white strawberries,strawberries
baby eggplant,eggplant
baby corn,corn
green chili,chili
bramble,blueberries
chopped cauliflower,cauliflower
musk melons,melons
black beauty zucchini,zucchini
salted shrimp,shrimp
baked salmon,salmon
baked turkey,turkey
boiled eggs,eggs
salted ground beef,ground beef
fresh chopped tuna,fresh tuna
cooked escalope,escalope
cooked ham,ham
baked chicken,chicken
fried bacon,bacon
golden honey,honey
veg burgers,burgers
pudina chutney,chutney
sweet corn soup,soup
peri peri french fries,french fries
choco chip cookies,cookies
fried meatballs,meatballs
mango pickles,pickles
glucose energy bar,energy bar
tomato ketch up,tomato sauce
dark chocolate,chocolate
vanila cake,yogurt cake
choco chip muffins,muffins
panready to eat,panready to eat
chewy candy bars,candy bars
dark forest cake,cake
mustard hot dogs,hot dogs
dog pet food,pet food
cheese sandwich,sandwich
protein fat bar,protein bar
burger mayo,burger sauce
cream sauce,mushroom cream sauce
bubble gums,gums
oat cereals,cereals
brown bread,fresh bread
browny fudge ,brownies
multi-grain bread,chocolate bread
potato chips,mashed potato
gluten free chocolate bar,gluten free bar
barbecue powder,barbecue sauce
white chocolate,extra dark chocolate
strawberry babies food,babies food
tomato chutney,ketchup
protein bar,hand protein bar
masala oatmeal,oatmeal
whole wheat spagetti,whole wheat pasta
oat pasta,pasta
